ol,stock,species,long,lat
83,Fraser River,chum,-122.5046712,49.78251583
84,WCVI,chum,-126.031656,49.56705934
85,Johnstone Strait Area and Mainland Inlets (A11 to A13),chum,-125.7171452,51.01878749
86,Georgia Strait,chum,-124.0971828,49.73894305
87,Coastal Areas 5 & 6,chum,-128.6382883,53.3580097
88,Haida Gwaii,chum,-132.2161785,53.38676758
89,Skeena - Nass,chum,-127.7359112,54.7970959
90,Areas 7 to 10,chum,-126.6378013,52.2534571
91,Yukon,chum,-135.3208777,61.31924092
92,Porcupine (Yukon),chum,-138.7001458,67.0974726
93,Taku,chum,-132.5156934,58.73767026
