ol,stock,species,long,lat
55,Mid and Upper - Fraser,coho,-121.5452129,49.75790108
56,Thompson,coho,-120.0456213,51.1759
57,Lower Fraser,coho,-122.5046712,49.78251583
58,WCVI,coho,-125.7068303,49.39032056
59,Area 12,coho,-125.7954378,51.29738767
60,Area 13 - North,coho,-125.9338369,50.73686495
61,Georgia Strait,coho,-124.0993096,49.73079121
62,Areas 7 to 10,coho,-126.3146198,52.22125144
63,Areas 5 and 6,coho,-128.403371,53.11341341
64,Area 3,coho,-129.3652846,55.81572287
65,Haida Gwaii - East (Area 2 East),coho,-131.745747,52.8098779
66,Haida Gwaii - North (Area 1),coho,-132.3091414,53.75815501
67,Haida Gwaii - West (Area 2 West),coho,-132.423989,53.24407668
68,Skeena,coho,-127.6074342,54.77516696
69,Skeena – High Interior,coho,-127.5343755,56.46571039
70,Alsek,coho,-137.1661583,59.71148595
71,Stikine,coho,-131.1250917,57.36392724
72,Taku,coho,-132.5091442,58.6718812
73,Yukon,coho,-138.5065414,67.14061227
