ol,stock,species,long,lat
1,Okanagan,sockeye,-119.4697929,49.04092936
2,Early Stuart,sockeye,-125.5088604,55.37402426
3,Early Summer - North Thompson,sockeye,-120.0840998,51.4088904
4,Early Summer - South Thompson,sockeye,-119.3006423,50.77536976
5,Early Summer - Mid and Upper Fraser,sockeye,-125.7046211,54.01120376
6,Early Summer - Lower Fraser,sockeye,-121.6514898,50.13859261
7,Summer - Chilko,sockeye,-124.1025722,51.31867442
8,Summer - Late Stuart,sockeye,-124.6391851,54.81085433
9,Summer - Nechako,sockeye,-124.7414083,54.07995278
10,Summer - Quesnel,sockeye,-120.982948,52.55936285
11, Fall – Cultus,sockeye,-122.3455995,49.45347198
12,Fall – Portage,sockeye,-122.0625289,50.84945322
13,Fall – South Thompson,sockeye,-119.1584891,51.36946599
14,Fall – Birkenhead,sockeye,-122.5237397,50.23412468
15,Fall – Lower Fraser,sockeye,-120.9624987,49.62361239
16,Somass,sockeye,-125.5346415,49.41061557
17,Henderson,sockeye,-124.6667077,48.97571263
18,WCVI - Other,sockeye,-126.4751715,49.88013643
19,Areas 11 to 13,sockeye,-126.5899169,50.94127682
20,Sakinaw,sockeye,-124.0128383,49.6805198
21,Areas 7 to 10,sockeye,-125.7289034,52.25043828
22,Coastal Areas 3 to 6,sockeye,-130.2371957,54.33440061
23,Babine Lake - Enhanced,sockeye,-126.6553723,55.37283399
24,Skeena - Wild,sockeye,-128.2181962,56.77848803
25,Nass,sockeye,-129.7211598,56.64990204
26,Haida Gwaii,sockeye,-132.8706921,53.9586583
27,Alsek,sockeye,-136.5178581,59.96879797
28,Stikine - Wild,sockeye,-131.5604385,57.59802247
29,Taku - Wild,sockeye,-133.2636706,59.23388349
94,Summer - Harrison,sockeye,-121.535157,49.01704408
95,Summer - Raft,sockeye,-120.6781282,50.74790605
